type,date,business,cost,category,year,monthno
Return,12/15/2017,ULTA # 451,-99.85,ShoppingOrEntertainment,2017,12
Sale,12/15/2017,ULTA # 451,147.68,ShoppingOrEntertainment,2017,12
Sale,12/15/2017,TJMAXX #0776,35.55,ShoppingOrEntertainment,2017,12
Sale,12/15/2017,STARBUCKS STORE 07862,11.24,Coffee,2017,12
Sale,12/15/2017,MICHAELS STORES 9185,10.61,ShoppingOrEntertainment,2017,12
Sale,12/15/2017,WEGMANS NORTHBOROUGH #58,42.19,GroceryStore,2017,12
Sale,12/16/2017,THAI TIME,20.1,Restaurants,2017,12
Sale,12/16/2017,WALGREENS #3151,41.71,HealthOrDoctors,2017,12
Sale,12/16/2017,TST* BULL MANSION,70,ShoppingOrEntertainment,2017,12
Sale,12/17/2017,LOWES #01206*,28.67,ShoppingOrEntertainment,2017,12
Return,12/17/2017,FRANCESCA'S B248,-106.8,ShoppingOrEntertainment,2017,12
Sale,12/17/2017,TARGET        00013482,4.77,ShoppingOrEntertainment,2017,12
Sale,12/17/2017,TARGET        00015164,31.62,ShoppingOrEntertainment,2017,12
